us_since_last_capture,packet_num,channel_num,access_addr,pdu,tx,rx,payload_length,advertising_addr,data,crc
27,1,39,8e89bed6,ADV_IND,1,0,37,ec815756d208,1eff4c0012191096431f9ca2496a6825b31915412b6436d2f30933a0930386,0.0
2030869,36,39,8e89bed6,ADV_IND,1,0,37,8c815756d208,c1d6c5442059dee18f1ba5bf427a4ecd606b6222902ceff0c78dd217a02da7,1.0
5996984,88,39,8e89bed6,ADV_IND,1,0,37,9a815756d208,c1d6c5402059dee18f1fa5af427b4ecd60eb6222922ceff0cdcdd257a13da7,1.0
18054900,111,39,8e89bed6,ADV_IND,1,0,37,ec815756c208,1eff4c0012191096431f9ca2596a6825b31915412b6436d2f30933a09303fa,1.0
18022886,122,39,8e89bed6,ADV_IND,1,0,37,ec835756d20c,1eff4c0112991096431f9ca2496a6025b31915412bf436d6f30933a09303fa,1.0
3997952,176,39,8e89bed6,ADV_IND,1,0,37,64815756d208,1eff4c0012190016431f9cb249686825b31d15412b6536d6f30933a09303fc,1.0
5996899,178,39,8e89bed6,ADV_IND,1,0,37,9a5cf6855f4b,c1d6c5442059dee18f1ba5af42eb4ecd60ed7222902ceff0c78cd257a13da7,1.0
8028205,190,39,8e89bed6,ADV_IND,1,0,37,ec811556d208,1eff4c0012191096431f9ca2596a6025b31915412b6436d2f30933a09303fc,1.0
1999008,224,39,8e89bed6,ADV_IND,1,0,37,6c835556d008,1eff4c0112191096431f9ca2596a6825b71915416f6436d2fb0933a89203dc,1.0
1999050,247,39,8e89bed6,ADV_IND,1,0,33,6c815776d20c,1efd4c0052191096431e9ca2496a6825b3191d452b6436d3f30933,1.0
5997040,326,39,8e89bed6,ADV_IND,1,0,37,9a9ef756d208,c1d6c5442059dce18f1ba5af427b4ecd40eb7222902ceff0c78dd25fa13da7,1.0
18023017,371,39,8e89bed6,ADV_IND,1,0,37,9a9cf2855a08,c1d6c5442059dee18d8b81af427b4ecd60eb6222902ceff1478d9257813d37,1.0
3998054,418,39,8e89bed6,ADV_IND,1,0,37,ba9cf756d208,c1d6c5442059dee1871aa5af426b4ecd60eb6222902ceff8c78dd257a13da7,1.0
14025227,440,39,8e89bed6,ADV_IND,1,0,37,ec815756d008,1eff4c0012191096431f9ca2496a6825b71915416b7436d2f30931a09303ac,1.0
5997157,447,39,8e89bed6,ADV_IND,1,0,37,92835756d288,c1d6c5442051dee08f1ba5ae527b4e8d60eb6222902ce7d0c78dd25fa13da7,1.0
1998894,464,39,8e89bed6,ADV_IND,1,0,37,6c815756d208,1eff4c0012191096431f9ca2496a6825b31d15412b6436d2f30933a0930322,1.0
3998026,480,39,8e89bed6,ADV_IND,1,0,37,9a9cf284d208,d1d6c5442059dee18f19b5af42fb4ecde0ef6222902cef70c7adf356a13da7,1.0
8028051,510,39,8e89bed6,ADV_IND,1,0,37,ac815756d208,c1d6c5442079dee18f1ba5af423b4ec560eb6222b06cefe0c78d3257a13da7,1.0
9994780,522,39,8e89bed6,ADV_IND,1,0,37,9a9cf6855f40,c196c5442019dee18f1ba5af427b4ecd60eb6222902ca7f4c38dc257a139a7,1.0
5996877,556,39,8e89bed6,ADV_IND,1,0,37,ec815556d208,1eff4c0012191096431f9ca2496a6025b31915412b6416d2f30933a0930322,1.0
8028144,605,39,8e89bed6,ADV_IND,1,0,37,ec815752d208,1eff4c0012191096431f9ca2496a6825b31915412b6436d2f30933a09303d1,1.0
1998933,683,39,8e89bed6,ADV_IND,1,0,37,98815756d208,c1d6c5442059dee18f1ba5af42bb4e4d60eb6222d42eeff4c78dd25fa13da7,1.0
7996228,777,39,8e89bed6,ADV_IND,1,0,37,1a1ce6017f4a,c1d6d5452059dee19f1ba18f437b5ecd70eb6222902ceff0c78dd247213da7,1.0
3997775,786,39,8e89bed6,ADV_IND,1,0,37,9c815756d208,d1d6c5452059dee18f1ba5af427b4ec9e0eb6222902ccff0c38dd257a11da7,1.0
1999170,868,39,8e89bed6,ADV_IND,1,0,37,ec835756d208,1eff5c0812191096431f9ca2496a6825b31915c12b6436d2f30933a0930324,1.0
18054993,932,39,8e89bed6,ADV_IND,1,0,37,eca15756d208,1eff4c0012191096431f9ca2496a6825b31915412f6536d2f30933a0930354,1.0
9895571,1154,39,8e89bed6,ADV_IND,1,0,37,9a9cf6855208,e1d6c5442019dfc18f1ba1af427b4edd60eb6222912ceef0c78dd255a13da7,1.0
1998875,1161,39,8e89bed6,ADV_IND,1,0,37,9a9de686d208,c156d54830d9d6a18f9ba5af427b4ecd60efe22a842ccff0c78dd2d7a13da7,1.0
4030081,1218,39,8e89bed6,ADV_IND,1,0,37,ec811756d208,1eff4c0012191096431f9ca2596a6825b31915412b7436d2f30933a0930373,1.0
1998895,1312,39,8e89bed6,ADV_IND,1,0,37,9adcf6855e5a,c1d7c5442059dee1a71ba5af427b5ecd24eb6322903ceef0c78dd257a13da7,1.0
6029081,1521,39,8e89bed6,ADV_IND,1,0,37,9a9ce6855f4a,c1d6c544205ddee3af1ba5af427b4ecd60eb6262983ccff0c78dda57a13da7,1.0
1999008,1619,39,8e89bed6,ADV_IND,1,0,37,6c815752d008,1ebf4c0012190096431e9cb24d6a6825b31915412b6436d2f30931a0930379,1.0
5996836,1793,39,8e89bed6,ADV_IND,1,0,37,5ac15756d208,c0d6cd463059dee18e3ba4af427b4ccd60ef6202b02cedf0c38dd277a13da7,1.0
4029800,1917,39,8e89bed6,ADV_IND,1,0,37,9a9cd756d208,c1d6c5442059dee18f1bb58c42794ecd60eb62229028eff8c78dd217a16fa7,1.0
4029536,2002,39,8e89bed6,ADV_IND,1,0,37,9a9cf6851208,c1dee54421595ee38f1ba5af42f34e4d60eb622ad02cfff0c78d5257a13da7,1.0
1998897,2014,39,8e89bed6,ADV_IND,1,0,37,ec835756d288,1eff4c0012191096431f9ca2596a6825b31915c12b6436d2f30933a09303e4,1.0
1998885,2033,39,8e89bed6,ADV_IND,1,0,37,9a9cf684d208,c3d6c5c4285adec18f1ba5a7427b4ecd60eb7a22902ceff0c78dd257a13da7,1.0
1998874,2081,39,8e89bed6,ADV_IND,1,0,37,ec815776d208,1eff4c0012191096431f9caf463f4ecd60eb2222902ceff0c78dd257a13da7,1.0
12025877,2139,39,8e89bed6,ADV_IND,1,0,37,9a1cf756d208,c1d6c5442059dce18f1aa5af427b4ecd62eb62a28024eff4c78dd257a13da6,1.0
1998913,2152,39,8e89bed6,ADV_IND,1,0,37,9e9cf6815f48,c1d6c544205bdee18f1ba5ef42794fcd60eb62a69024eff0c785d257a13da7,1.0
1999024,2309,39,8e89bed6,ADV_IND,1,0,37,9a9cf68ed208,c1d6c5442059dee18f1ba5af427b4ecd60eb62229028eef0c78dd257a13da7,1.0
4029776,2472,39,8e89bed6,ADV_IND,1,0,37,92815756d208,c1c6c5442059dee08f1ba5af427b4ecd60ab6222902ceff0c78dd25da13da7,1.0
1999069,2581,39,8e89bed6,ADV_IND,1,0,37,9a9cf796d208,c1d6c5442059dee58f1ba5afc27bcecd60eb6202912ccff0c79dd257a57da7,1.0
3997974,2618,39,8e89bed6,ADV_IND,1,1,37,e4815756d20c,1eed4c011219109e531f9ca2596a6825b3191d452b6436d6f30933a0970388,1.0
7996012,2714,39,8e89bed6,ADV_IND,1,0,37,e4815756d208,1eff4c0012191096431f9ca2496a6825b3191d416b6436d2f30931a0930300,1.0
20054216,2843,39,8e89bed6,ADV_IND,1,0,37,9a8cf6855f08,c1d6d5442019dee1cf9ba4af42734ecd20ef6222902ceff0c79dd277a13da7,1.0
1999033,2890,39,8e89bed6,ADV_IND,1,0,37,1a9dd656d208,c1d6c54560595a61ed1ba58f427f4ecd68eb0222d02dfff08587da57a135af,1.0
5996912,2971,39,8e89bed6,ADV_IND,1,0,37,9a8d5756d208,c1d6c7446859dce1871ba5af427b4ecd61eb6222902ceff0c68dd277e13fe5,1.0
4030196,2980,39,8e89bed6,ADV_IND,1,0,37,ec815552c208,1eff5c00121910964317dca2496a6825b31d9d412b6436d3f30931a092035c,1.0
1999021,2996,39,8e89bed6,ADV_IND,1,0,37,ec815752c208,1eff4c001219009e431e9cb2496a2025931915412b6434d6f30133a8930378,1.0
1998896,3002,39,8e89bed6,ADV_IND,1,0,37,d89cf6055e08,c0d6c5442059d6e18f5ba1af427b4ecde0e36202102ceff4c7ddd657b93db7,1.0
6028889,3020,39,8e89bed6,ADV_IND,1,0,37,eca11756d208,1eff4c0012191096531f9ca2496a6835b71915412b6436d2f30933a0930378,1.0
1999079,3038,39,8e89bed6,ADV_IND,1,0,37,eca15756c208,1eff4c0012191096431f9ca2496a6825b31915412b6436d2f30933a093037c,1.0
1999056,3071,39,8e89bed6,ADV_IND,1,0,37,ec815756d20c,1eff4c0012191096431f9ca2496a6825b31915412b6434d2f30933a093037c,1.0
10059228,3212,39,8e89bed6,ADV_IND,1,0,37,ec815756d288,1eff4c0012191096431f9ca2596a6825b31915412f6436d2f30933a0d303bf,1.0
1998973,3227,39,8e89bed6,ADV_IND,1,0,37,6c815756d008,1eff4c001219009643169cb2496a2825b31995452b6434d2f30933a89303bf,1.0
8028045,3237,39,8e89bed6,ADV_IND,1,0,37,da9cd696d208,c1d4cd442159dee1cf1bbdaf423b4e4d60eb6223902cef70c78d5257a13da7,1.0
5997160,3256,39,8e89bed6,ADV_IND,1,0,37,9a94b696d208,c1d6c5442059dee18d1aa5af427bcedd60eb7262902ccff4e78dd0c7a1bd27,1.0
5997060,3357,39,8e89bed6,ADV_IND,1,0,37,9abc76d6d208,c1d6c54c2059dee18f1ba52f407b4ecd60eb6222982cebf0e70dd255a13de7,1.0
1998909,3369,39,8e89bed6,ADV_IND,1,0,37,9a9ef6c6d208,e1d6c5402058fe61af1ba5afc27f4ecd60eb6222902ceff0c70dd257a13da7,1.0
20054193,3460,39,8e89bed6,ADV_IND,1,0,37,9a995756d208,d1f6cd642459dee09f1ba5af4a7b4e9d60eb42a2903cabf04f8dd257a33da7,1.0
10026809,3509,39,8e89bed6,ADV_IND,1,0,37,6ca15756d208,1eff4c0012191096431f9ca2496a6825b31915412b6436d2f30933a0930358,1.0
18023000,3617,39,8e89bed6,ADV_IND,1,0,37,9a94f6055f48,c1d6c555205bdfe18f1ba5af427b0ecd60eb6223922ceff0c78dda57a33da7,1.0
3997783,3624,39,8e89bed6,ADV_IND,1,0,37,94815756d208,c1d6c5450059dfe1870ba5a7523b4ecde0eb6222902ceff0c78dd657a13da4,1.0
8027996,3655,39,8e89bed6,ADV_IND,1,0,37,9a9cf6855f48,d1d6c5467059dee18b1ba5af427b4ecd60eb6222902ceff2c78dd257a13da7,1.0
6028955,3664,39,8e89bed6,ADV_IND,1,0,37,999ef206d208,c1d6c54420599ee18f1ba5a7427b4ecf64eb6222902ceff0d78dd257a13da6,1.0
24052061,3700,39,8e89bed6,ADV_IND,1,0,37,9e915756d208,c0d685442859dee18f1ba5afc27b4ecd61eb6122903ceff0c78dc257a13da7,1.0
